"항목","내외국인별","출입국항별","시점","성별",데이터
"입국자","내국인","인천공항","2001","남자",70444
"입국자","내국인","인천공항","2001","여자",69542
"입국자","내국인","인천공항","2002","남자",101032
"입국자","내국인","인천공항","2002","여자",102880
"입국자","내국인","인천공항","2003","남자",102093
"입국자","내국인","인천공항","2003","여자",106827
"입국자","내국인","인천공항","2004","남자",105204
"입국자","내국인","인천공항","2004","여자",109738
"입국자","내국인","인천공항","2005","남자",115751
"입국자","내국인","인천공항","2005","여자",121853
"입국자","내국인","인천공항","2006","남자",131321
"입국자","내국인","인천공항","2006","여자",134263
"입국자","내국인","인천공항","2007","남자",141105
"입국자","내국인","인천공항","2007","여자",144269
"입국자","내국인","인천공항","2008","남자",152644
"입국자","내국인","인천공항","2008","여자",154104
"입국자","내국인","인천공항","2009","남자",156396
"입국자","내국인","인천공항","2009","여자",155340
"입국자","내국인","인천공항","2010","남자",145965
"입국자","내국인","인천공항","2010","여자",148001
"입국자","내국인","인천공항","2011","남자",149233
"입국자","내국인","인천공항","2011","여자",148994
"입국자","내국인","인천공항","2012","남자",443102
"입국자","내국인","인천공항","2012","여자",437507
"입국자","내국인","인천공항","2013","남자",145652
"입국자","내국인","인천공항","2013","여자",137220
"입국자","내국인","인천공항","2014","남자",145019
"입국자","내국인","인천공항","2014","여자",130075
"입국자","내국인","인천공항","2015","남자",138858
"입국자","내국인","인천공항","2015","여자",124534
"입국자","내국인","인천공항","2016","남자",136025
"입국자","내국인","인천공항","2016","여자",124538
"입국자","내국인","인천공항","2017","남자",132564
"입국자","내국인","인천공항","2017","여자",121114
"입국자","내국인","인천공항","2018","남자",134600
"입국자","내국인","인천공항","2018","여자",132624
"입국자","내국인","인천공항","2019","남자",130763
"입국자","내국인","인천공항","2019","여자",126055
"입국자","내국인","인천공항","2020","남자",215308
"입국자","내국인","인천공항","2020","여자",192236
"입국자","내국인","인천공항","2021","남자",108753
"입국자","내국인","인천공항","2021","여자",79094
"입국자","내국인","인천공항","2022","남자",98654
"입국자","내국인","인천공항","2022","여자",86959
"입국자","내국인","인천공항","2023","남자",97746
"입국자","내국인","인천공항","2023","여자",95233
"입국자","외국인","인천공항","2001","남자",60699
"입국자","외국인","인천공항","2001","여자",47963
"입국자","외국인","인천공항","2002","남자",77745
"입국자","외국인","인천공항","2002","여자",57354
"입국자","외국인","인천공항","2003","남자",85643
"입국자","외국인","인천공항","2003","여자",54732
"입국자","외국인","인천공항","2004","남자",86848
"입국자","외국인","인천공항","2004","여자",62978
"입국자","외국인","인천공항","2005","남자",126932
"입국자","외국인","인천공항","2005","여자",87119
"입국자","외국인","인천공항","2006","남자",146542
"입국자","외국인","인천공항","2006","여자",99911
"입국자","외국인","인천공항","2007","남자",137054
"입국자","외국인","인천공항","2007","여자",112276
"입국자","외국인","인천공항","2008","남자",142198
"입국자","외국인","인천공항","2008","여자",114242
"입국자","외국인","인천공항","2009","남자",105697
"입국자","외국인","인천공항","2009","여자",97197
"입국자","외국인","인천공항","2010","남자",136716
"입국자","외국인","인천공항","2010","여자",118154
"입국자","외국인","인천공항","2011","남자",147431
"입국자","외국인","인천공항","2011","여자",117704
"입국자","외국인","인천공항","2012","남자",429316
